contractor_index,business_name,address_street,address_city,address_state,contractor_match_text,candidate_rank,candidate_report_id,candidate_event_desc,tfidf_score,rapidfuzz_score,combined
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,dynamic iron works inc po box 38 north highlands ca 95660,3,0950633,Iron worker injures back in fall,0.07324114037643696,34.65346534653466,0.18255854561200083
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,dynamic iron works inc po box 38 north highlands ca 95660,4,0418100,Iron worker killed in fall when lanyard is severed,0.07290025666134452,34.10138248847926,0.18014568395072378
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,dynamic iron works inc po box 38 north highlands ca 95660,5,0950641,Apprentice Iron Worker Is Injured While Erecting Beam,0.06793217215116099,37.30569948186528,0.18998210121815773
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,ecoplanet landscape & maintenance services 1105 carmelita ave sacramento ca 95838,1,0950632,Maintenance Worker Dies after Fall,0.054616281507206266,45.6140350877193,0.21522590925520096
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,ecoplanet landscape & maintenance services 1105 carmelita ave sacramento ca 95838,2,0950632,Maintenance Worker Dies from Asphyxia,0.05386755461378106,50.666666666666664,0.2349871994349353
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,ecoplanet landscape & maintenance services 1105 carmelita ave sacramento ca 95838,3,0521400,Employee burned while performing maintenance,0.05269218315745808,47.12643678160919,0.22012105702091161
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,ecoplanet landscape & maintenance services 1105 carmelita ave sacramento ca 95838,4,0454716,WORKER PERFORMING MAINTENANCE CRUSHED WHEN MACHINE ACTIVATED,0.05089415416563294,47.45762711864407,0.22036700097395603
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,ecoplanet landscape & maintenance services 1105 carmelita ave sacramento ca 95838,5,0418100,Employee crushed while performing machine maintenance,0.0500416385337613,45.320197044334975,0.2113057712975967
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,eisenbeisz electric po box 1283 galt ca 95632,1,0950612,Employee Receives Electric Shock When Electric Box Explodes,0.11218827252888736,42.10526315789474,0.23573401614891137
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,eisenbeisz electric po box 1283 galt ca 95632,2,0111500,Employee Is Injured by Electric Shock,0.09793246881045944,38.51851851851852,0.21283355536034976
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,eisenbeisz electric po box 1283 galt ca 95632,3,0453730,Employee Suffers Electric Shock from Electric Control Panel,0.09772895427503714,41.86046511627907,0.22607923303013858
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,eisenbeisz electric po box 1283 galt ca 95632,4,0418100,ELECTRIC SHOCK - CONTACT WITH LIVE PARTS THRU METAL BUGGY,0.07979184636357031,34.63687150837988,0.18642259385166174
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,eisenbeisz electric po box 1283 galt ca 95632,5,1054115,Employee Is Struck by Electric Arc Flash and Receives Burns,0.07335840319859266,42.10526315789474,0.21243609455073456
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,duncan custom concrete 241 ascot ave rio linda ca 95673,1,0636900,Employee Collapses While Laying Concrete and Dies,0.10491049526942109,43.05555555555556,0.2351685193838749
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,duncan custom concrete 241 ascot ave rio linda ca 95673,2,0552700,Employee crushed by falling concrete,0.08705681316955591,39.716312056737586,0.2110993361286839
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,duncan custom concrete 241 ascot ave rio linda ca 95673,3,0950622,Employee injured while operating concrete pumper,0.08307786533553611,40.74074074074074,0.21280968216428464
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,duncan custom concrete 241 ascot ave rio linda ca 95673,4,0950621,Concrete Worker Sustains Fracture When Struck in Chest,0.08278180624617915,36.18090452261306,0.19439270183815974
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,duncan custom concrete 241 ascot ave rio linda ca 95673,5,0453730,Employee Struck by Concrete Truck and Killed,0.08150567629677896,39.473684210526315,0.20679814262017265
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,watson construction 2413 sandringham road sacramento ca 95825,1,0524500,ROAD COMPACTOR WENT OVER A BANK; OPERATOR KILLED,0.20425661983651655,46.06741573033708,0.30682363482325825
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,watson construction 2413 sandringham road sacramento ca 95825,2,0551800,CONSTRUCTION WORKER STRUCK BY ROAD GRADER,0.18639495273238973,46.540880503144656,0.2980004936520125
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,watson construction 2413 sandringham road sacramento ca 95825,3,0830300,Employee Is Killed When Struck by Road Scraper,0.1752280327186838,41.83673469387755,0.2724837584067205
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,watson construction 2413 sandringham road sacramento ca 95825,4,0418800,Road Construction Worker Is Crushed by Roller Machine,0.17505744400108048,43.58974358974359,0.2793934407596227
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,watson construction 2413 sandringham road sacramento ca 95825,5,0454712,Employee killed in fall from road grader,0.1732208044165164,35.175879396984925,0.24463600023784957
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,standard & kings 2609 5th ave sacramento ca 95818,1,0950636,Electric Shock - Direct Contact with Energized Conductor,0.0,27.74566473988439,0.11098265895953757
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,standard & kings 2609 5th ave sacramento ca 95818,2,0453730,Electric Shock - Ground Fault in Electric Sign,0.0,23.88059701492537,0.09552238805970148
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,standard & kings 2609 5th ave sacramento ca 95818,3,0935000,Employee dies when four wheel loader rolls over,0.0,28.787878787878782,0.11515151515151514
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,standard & kings 2609 5th ave sacramento ca 95818,4,0418300,Electric Shock - Ground Fault in Crossarm Brace,0.0,23.86831275720165,0.0954732510288066
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,standard & kings 2609 5th ave sacramento ca 95818,5,0215000,ELECTRIC SHOCK - GROUND FAULT IN DISHWASHER,0.0,25.86206896551724,0.10344827586206895
9,JH WINDOW TINTING INC,8188 ELDER CREEK RD,SACRAMENTO,CA,jh window tinting inc 8188 elder creek rd sacramento ca 95824,1,0522300,WINDOW WASHER KILLED WHEN HE FELL THROUGH A WINDOW,0.20388929909832007,42.857142857142854,0.29376215088756347
9,JH WINDOW TINTING INC,8188 ELDER CREEK RD,SACRAMENTO,CA,jh window tinting inc 8188 elder creek rd sacramento ca 95824,2,0134000,Employee Falls from Window Ledge and Is Killed,0.19442370958600932,40.298507462686565,0.2778482556023518
9,JH WINDOW TINTING INC,8188 ELDER CREEK RD,SACRAMENTO,CA,jh window tinting inc 8188 elder creek rd sacramento ca 95824,3,0112300,WINDOW WASHER FELL FROM THIRD FLOOR WINDOW,0.1943933365979453,41.42857142857143,0.2823502876730529
9,JH WINDOW TINTING INC,8188 ELDER CREEK RD,SACRAMENTO,CA,jh window tinting inc 8188 elder creek rd sacramento ca 95824,4,0215000,Employee killed in fall when knocked out of window,0.19182742042830564,40.0,0.2750964522569834
9,JH WINDOW TINTING INC,8188 ELDER CREEK RD,SACRAMENTO,CA,jh window tinting inc 8188 elder creek rd sacramento ca 95824,5,0419700,Employee fell from roof while window washing and killed,0.18633073421652838,44.285714285714285,0.2889412976727742
10,V3 ELECTRIC INC,11020 WHITE ROCK RD,RANCHO CORDOVA,CA,v3 electric inc 11020 white rock rd rancho cordova ca 95670,1,0950612,Employee Receives Electric Shock When Electric Box Explodes,0.06501352959500858,41.77215189873418,0.20609672535194185
10,V3 ELECTRIC INC,11020 WHITE ROCK RD,RANCHO CORDOVA,CA,v3 electric inc 11020 white rock rd rancho cordova ca 95670,2,0626300,Employee Is Killed from Electric Shock,0.056503444804821557,33.48837209302326,0.167855555254986
10,V3 ELECTRIC INC,11020 WHITE ROCK RD,RANCHO CORDOVA,CA,v3 electric inc 11020 white rock rd rancho cordova ca 95670,3,0950644,Boom Contacts Power Line Causing Employee Electric Shock,0.055274005284234304,39.57219251336898,0.19145317322401653
10,V3 ELECTRIC INC,11020 WHITE ROCK RD,RANCHO CORDOVA,CA,v3 electric inc 11020 white rock rd rancho cordova ca 95670,4,0316700,Employee Is Killed from Electric Shock,0.05509343994506653,38.70967741935484,0.18789477364445928
10,V3 ELECTRIC INC,11020 WHITE ROCK RD,RANCHO CORDOVA,CA,v3 electric inc 11020 white rock rd rancho cordova ca 95670,5,0950621,Employee Receives Electric Shock from Bun Warmer,0.05508186778110877,42.76729559748428,0.20411830305860237
11,DRP ELECTRIC INC,6213 26TH STREET,RIO LINDA,CA,drp electric inc 6213 26th street rio linda ca 95673,1,0950612,Employee Receives Electric Shock When Electric Box Explodes,0.06233257216967448,39.735099337748345,0.19633994065279808
11,DRP ELECTRIC INC,6213 26TH STREET,RIO LINDA,CA,drp electric inc 6213 26th street rio linda ca 95673,2,0626300,Employee Is Killed from Electric Shock,0.05417341702675624,33.65384615384616,0.1671194348314384
11,DRP ELECTRIC INC,6213 26TH STREET,RIO LINDA,CA,drp electric inc 6213 26th street rio linda ca 95673,3,0950644,Boom Contacts Power Line Causing Employee Electric Shock,0.052994675799774175,38.888888888888886,0.18735236103542008
11,DRP ELECTRIC INC,6213 26TH STREET,RIO LINDA,CA,drp electric inc 6213 26th street rio linda ca 95673,4,0316700,Employee Is Killed from Electric Shock,0.05282155641823731,34.63687150837988,0.17024041988446192
11,DRP ELECTRIC INC,6213 26TH STREET,RIO LINDA,CA,drp electric inc 6213 26th street rio linda ca 95673,5,0950621,Employee Receives Electric Shock from Bun Warmer,0.05281046145462665,39.473684210526315,0.18958101371488129
12,COMMERCIAL FLOORING INSTALLERS INC,12412 GOLD FLAKE CT,RANCHO CORDOVA,CA,commercial flooring installers inc 12412 gold flake ct rancho cordova ca 95742,1,0418100,COMMERCIAL DIVER DROWNED IN LAKE,0.08157051623109207,42.038216560509554,0.21709517598069347
12,COMMERCIAL FLOORING INSTALLERS INC,12412 GOLD FLAKE CT,RANCHO CORDOVA,CA,commercial flooring installers inc 12412 gold flake ct rancho cordova ca 95742,2,1032100,Diver drowns while untangling crab lines,0.07126675910000481,37.94871794871795,0.1945549272548747
12,COMMERCIAL FLOORING INSTALLERS INC,12412 GOLD FLAKE CT,RANCHO CORDOVA,CA,commercial flooring installers inc 12412 gold flake ct rancho cordova ca 95742,3,1032100,Diver drowns after becoming entangled in fishing net,0.06765855602790415,40.38461538461539,0.20213359515520404
12,COMMERCIAL FLOORING INSTALLERS INC,12412 GOLD FLAKE CT,RANCHO CORDOVA,CA,commercial flooring installers inc 12412 gold flake ct rancho cordova ca 95742,4,0932040,"Diver drowns, complications possible",0.06665754663668004,35.35911602209944,0.1814309920704058
12,COMMERCIAL FLOORING INSTALLERS INC,12412 GOLD FLAKE CT,RANCHO CORDOVA,CA,commercial flooring installers inc 12412 gold flake ct rancho cordova ca 95742,5,1032100,Employee Drowns While Diving,0.0,30.2158273381295,0.12086330935251802
13,CARMICHAEL CONSTRUCTION INC,6201 WILDOMAR WAY,CARMICHAEL,CA,carmichael construction inc 6201 wildomar way carmichael ca 95608,1,0950632,Construction Laborer Dies of Electrocution,0.028664874234115904,46.15384615384615,0.20181430915585416
13,CARMICHAEL CONSTRUCTION INC,6201 WILDOMAR WAY,CARMICHAEL,CA,carmichael construction inc 6201 wildomar way carmichael ca 95608,2,0552651,Construction employee falls,0.026567731877554294,48.598130841121495,0.21033316249101855
13,CARMICHAEL CONSTRUCTION INC,6201 WILDOMAR WAY,CARMICHAEL,CA,carmichael construction inc 6201 wildomar way carmichael ca 95608,3,0215600,Employee is killed in construction fall,0.026037013434460774,54.83870967741935,0.2349770467703539
13,CARMICHAEL CONSTRUCTION INC,6201 WILDOMAR WAY,CARMICHAEL,CA,carmichael construction inc 6201 wildomar way carmichael ca 95608,4,0950644,Construction worker injured in fall,0.024816345094123275,53.91304347826087,0.23054198096951745
13,CARMICHAEL CONSTRUCTION INC,6201 WILDOMAR WAY,CARMICHAEL,CA,carmichael construction inc 6201 wildomar way carmichael ca 95608,5,0215600,CONSTRUCTION WORKER KILLED IN FALL,0.024378325865446908,52.30769230769231,0.22385776475003738
14,JAVI'S ROOFING INC,7210 22ND STREET,RIO LINDA,CA,javi's roofing inc 7210 22nd street rio linda ca 95673,1,0950643,Employee injured when burned by hot liquid roofing material,0.09866358867980647,38.888888888888886,0.21475370876343944
14,JAVI'S ROOFING INC,7210 22ND STREET,RIO LINDA,CA,javi's roofing inc 7210 22nd street rio linda ca 95673,2,0950632,Roofing Worker Is Seriously Burned When Hot Tar Flashes,0.07758734952445832,39.49044585987261,0.20451419315416544
14,JAVI'S ROOFING INC,7210 22ND STREET,RIO LINDA,CA,javi's roofing inc 7210 22nd street rio linda ca 95673,3,0950643,Employee injured when burned by hot roofing tar,0.07522461944662141,37.58389261744966,0.19547034213777154
14,JAVI'S ROOFING INC,7210 22ND STREET,RIO LINDA,CA,javi's roofing inc 7210 22nd street rio linda ca 95673,4,0950622,Employee is burned with asphalt while roofing,0.07286259640697215,35.22012578616352,0.18459806098883738
14,JAVI'S ROOFING INC,7210 22ND STREET,RIO LINDA,CA,javi's roofing inc 7210 22nd street rio linda ca 95673,5,0950613,Employee Is Burned While Roofing with Hot Asphalt,0.06955920231661356,37.03703703703704,0.1898836695381163
15,EMERALD PAINTING INC,5120 59TH ST,SACRAMENTO,CA,emerald painting inc 5120 59th st sacramento ca 95820,1,0950612,Employee Is Burned While Spray Painting,0.11057403211776529,34.69387755102041,0.20511992947474078
15,EMERALD PAINTING INC,5120 59TH ST,SACRAMENTO,CA,emerald painting inc 5120 59th st sacramento ca 95820,2,0625700,Employee killed in fire fed by flammable vapors,0.07756492406649342,34.09090909090909,0.18290259080353244
15,EMERALD PAINTING INC,5120 59TH ST,SACRAMENTO,CA,emerald painting inc 5120 59th st sacramento ca 95820,3,0950631,Burns from ignited flammable vapors,0.06918214925484323,35.95505617977528,0.18532951427200706
15,EMERALD PAINTING INC,5120 59TH ST,SACRAMENTO,CA,emerald painting inc 5120 59th st sacramento ca 95820,4,0950642,Employee killed when flammable vapors explode,0.06003253979683401,30.769230769230774,0.15909644695502348
15,EMERALD PAINTING INC,5120 59TH ST,SACRAMENTO,CA,emerald painting inc 5120 59th st sacramento ca 95820,5,0636900,Employee killed when lacquer vapors ignite,0.058881745539917124,30.188679245283012,0.1560837643050823
16,FAIRCHILD GENERAL CONSTRUCTION,P O BOX 2534,ORANGEVALE,CA,fairchild general construction p o box 2534 orangevale ca 95662,1,0950632,Construction Laborer Dies of Electrocution,0.037080299361716626,48.92086330935252,0.21793163285444006
16,FAIRCHILD GENERAL CONSTRUCTION,P O BOX 2534,ORANGEVALE,CA,fairchild general construction p o box 2534 orangevale ca 95662,2,0552651,Construction employee falls,0.03436747858495948,48.275862068965516,0.21372393542683776
16,FAIRCHILD GENERAL CONSTRUCTION,P O BOX 2534,ORANGEVALE,CA,fairchild general construction p o box 2534 orangevale ca 95662,3,0215600,Employee is killed in construction fall,0.03368095198149472,46.61654135338346,0.2066747366024307
16,FAIRCHILD GENERAL CONSTRUCTION,P O BOX 2534,ORANGEVALE,CA,fairchild general construction p o box 2534 orangevale ca 95662,4,0950644,Construction worker injured in fall,0.03210192019815572,50.0,0.21926115211889344
16,FAIRCHILD GENERAL CONSTRUCTION,P O BOX 2534,ORANGEVALE,CA,fairchild general construction p o box 2534 orangevale ca 95662,5,0215600,CONSTRUCTION WORKER KILLED IN FALL,0.031535307416503344,51.798561151079134,0.22611542905421858
17,TGW PAINTING & SERVICES,2795 E BIDWELL STREET SUITE100-233,FOLSOM,CA,tgw painting & services 2795 e bidwell street suite100-233 folsom ca 95630,1,0950612,Employee Is Burned While Spray Painting,0.0984960741375424,35.02304147465438,0.19918981038114295
17,TGW PAINTING & SERVICES,2795 E BIDWELL STREET SUITE100-233,FOLSOM,CA,tgw painting & services 2795 e bidwell street suite100-233 folsom ca 95630,2,0625700,Employee killed in fire fed by flammable vapors,0.069092537958546,34.517766497461935,0.17952658876497532
17,TGW PAINTING & SERVICES,2795 E BIDWELL STREET SUITE100-233,FOLSOM,CA,tgw painting & services 2795 e bidwell street suite100-233 folsom ca 95630,3,0950631,Burns from ignited flammable vapors,0.061625410338136434,36.18090452261306,0.18169886429333412
17,TGW PAINTING & SERVICES,2795 E BIDWELL STREET SUITE100-233,FOLSOM,CA,tgw painting & services 2795 e bidwell street suite100-233 folsom ca 95630,4,0950642,Employee killed when flammable vapors explode,0.05347520911778277,34.25925925925925,0.16912216250770667
17,TGW PAINTING & SERVICES,2795 E BIDWELL STREET SUITE100-233,FOLSOM,CA,tgw painting & services 2795 e bidwell street suite100-233 folsom ca 95630,5,0636900,Employee killed when lacquer vapors ignite,0.052450115664325066,34.33476394849785,0.16880912519258645
18,J & H MARKINGS CO INC,2627 LA FRANCE DRIVE,CARMICHAEL,CA,j & h markings co inc 2627 la france drive carmichael ca 95608,1,0950624,Employee's fingers amputated in chain and sprocket drive,0.09447120108812042,35.944700460829495,0.20046152249619023
18,J & H MARKINGS CO INC,2627 LA FRANCE DRIVE,CARMICHAEL,CA,j & h markings co inc 2627 la france drive carmichael ca 95608,2,0627100,EMPLOYEE KILLED WHEN CAUGHT IN CHAIN DRIVE,0.09232111655757459,47.407407407407405,0.24502229956417437
18,J & H MARKINGS CO INC,2627 LA FRANCE DRIVE,CARMICHAEL,CA,j & h markings co inc 2627 la france drive carmichael ca 95608,3,0111400,Employee Is Caught in Drive Chain and Is Killed,0.07819063945478086,41.726618705035975,0.2138208584930124
18,J & H MARKINGS CO INC,2627 LA FRANCE DRIVE,CARMICHAEL,CA,j & h markings co inc 2627 la france drive carmichael ca 95608,4,0950633,Employee Injured by Chain Sprocket Drive,0.06914404100027789,42.465753424657535,0.2113494382987969
18,J & H MARKINGS CO INC,2627 LA FRANCE DRIVE,CARMICHAEL,CA,j & h markings co inc 2627 la france drive carmichael ca 95608,5,0950633,Employee amputated three fingers in sprocket chain drive,0.06882007774770589,41.77215189873418,0.20838065424356025
19,MANNY'S PAINTING,8645 ACACIA WOODS COURT,ANTELOPE,CA,manny's painting 8645 acacia woods court antelope ca 95843,1,0950612,Employee Is Burned While Spray Painting,0.10202309452373311,34.82587064676616,0.2005173393013045
19,MANNY'S PAINTING,8645 ACACIA WOODS COURT,ANTELOPE,CA,manny's painting 8645 acacia woods court antelope ca 95843,2,0625700,Employee killed in fire fed by flammable vapors,0.07156665473982148,32.04419889502762,0.17111678842400338
19,MANNY'S PAINTING,8645 ACACIA WOODS COURT,ANTELOPE,CA,manny's painting 8645 acacia woods court antelope ca 95843,3,0950631,Burns from ignited flammable vapors,0.06383213868211547,32.786885245901644,0.16944682419287585
19,MANNY'S PAINTING,8645 ACACIA WOODS COURT,ANTELOPE,CA,manny's painting 8645 acacia woods court antelope ca 95843,4,0950642,Employee killed when flammable vapors explode,0.055390089018994414,33.0,0.16523405341139666
19,MANNY'S PAINTING,8645 ACACIA WOODS COURT,ANTELOPE,CA,manny's painting 8645 acacia woods court antelope ca 95843,5,0636900,Employee killed when lacquer vapors ignite,0.05432828825979122,32.25806451612904,0.1616292310203909
20,ALL ABOUT GRANITE,631 NORTH MARKET BLVD SUITE G,SACRAMENTO,CA,all about granite 631 north market blvd suite g sacramento ca 95833,1,0854910,Employee Is Killed When Crushed Between Granite Slabs,0.10877943429775713,37.714285714285715,0.21612480343579715
20,ALL ABOUT GRANITE,631 NORTH MARKET BLVD SUITE G,SACRAMENTO,CA,all about granite 631 north market blvd suite g sacramento ca 95833,2,0950632,Employee Is Crushed by Falling Granite Slab,0.0928431414272101,41.75824175824176,0.2227388518892931
20,ALL ABOUT GRANITE,631 NORTH MARKET BLVD SUITE G,SACRAMENTO,CA,all about granite 631 north market blvd suite g sacramento ca 95833,3,0418800,Employee crushed and killed by falling granite slab,0.09249473766093053,38.38383838383838,0.20903219613191185
20,ALL ABOUT GRANITE,631 NORTH MARKET BLVD SUITE G,SACRAMENTO,CA,all about granite 631 north market blvd suite g sacramento ca 95833,4,0418100,Employee killed when crushed by falling granite slab,0.09129356822182741,37.4331550802139,0.20450876125395204
20,ALL ABOUT GRANITE,631 NORTH MARKET BLVD SUITE G,SACRAMENTO,CA,all about granite 631 north market blvd suite g sacramento ca 95833,5,0627700,Employee Is Killed When Crushed by Granite Slab,0.09075478993573476,36.633663366336634,0.20098752742678738
21,PRO-PLUMBING INC,7100 VAN MAREN LN,CITRUS HEIGHTS,CA,pro-plumbing inc 7100 van maren ln citrus heights ca 95621,1,0729700,Plumber Electrocuted Using Pipe as Ground,0.07433288312856631,38.92617449664429,0.20030442786371697
21,PRO-PLUMBING INC,7100 VAN MAREN LN,CITRUS HEIGHTS,CA,pro-plumbing inc 7100 van maren ln citrus heights ca 95621,2,0216000,Employee killed when struck against pipe,0.06841818926049764,32.3943661971831,0.170628378345031
21,PRO-PLUMBING INC,7100 VAN MAREN LN,CITRUS HEIGHTS,CA,pro-plumbing inc 7100 van maren ln citrus heights ca 95621,3,0950645,Employee killed when pipe contacted power line,0.06125905616612018,38.857142857142854,0.19218400512824355
21,PRO-PLUMBING INC,7100 VAN MAREN LN,CITRUS HEIGHTS,CA,pro-plumbing inc 7100 van maren ln citrus heights ca 95621,4,0950611,Employee injured while repairing steam pipe,0.05934824606000681,41.37931034482759,0.20112618901531443
21,PRO-PLUMBING INC,7100 VAN MAREN LN,CITRUS HEIGHTS,CA,pro-plumbing inc 7100 van maren ln citrus heights ca 95621,5,0522000,Employee injured when plumbing pipe system exploded,0.05108046784642346,34.02061855670104,0.16673075493465825
22,ALLIED ENTERPRISE GROUP INC WHICH WILL DO BUSINESS IN CALIFORNIA,2377 RAINBOW AVE,SACRAMENTO,CA,allied enterprise group inc which will do business in california 2377 rainbow ave sacramento ca 95821,1,0950636,Electric Shock - Direct Contact with Energized Conductor,0.0,38.22222222222222,0.1528888888888889
22,ALLIED ENTERPRISE GROUP INC WHICH WILL DO BUSINESS IN CALIFORNIA,2377 RAINBOW AVE,SACRAMENTO,CA,allied enterprise group inc which will do business in california 2377 rainbow ave sacramento ca 95821,2,0453730,Electric Shock - Ground Fault in Electric Sign,0.0,37.944664031620555,0.15177865612648223
22,ALLIED ENTERPRISE GROUP INC WHICH WILL DO BUSINESS IN CALIFORNIA,2377 RAINBOW AVE,SACRAMENTO,CA,allied enterprise group inc which will do business in california 2377 rainbow ave sacramento ca 95821,3,0935000,Employee dies when four wheel loader rolls over,0.0,35.8695652173913,0.1434782608695652
22,ALLIED ENTERPRISE GROUP INC WHICH WILL DO BUSINESS IN CALIFORNIA,2377 RAINBOW AVE,SACRAMENTO,CA,allied enterprise group inc which will do business in california 2377 rainbow ave sacramento ca 95821,4,0418300,Electric Shock - Ground Fault in Crossarm Brace,0.0,32.54237288135593,0.13016949152542373
